time,AirTC,SlrW,WS,water_temp_surface,chla_surface,chla_0_10m
2018-10-18 11:16:46.465,23.39,61.07,2.201,,,
2018-10-18 11:17:46.542,23.39,61.07,2.201,,,19.50286
2018-10-18 12:02:51.698,23.39,61.07,2.201,,,19.868101
2018-10-18 12:48:28.236,23.39,61.07,2.201,,,19.708574
2018-10-18 12:50:34.958,23.39,61.07,2.201,,,18.34125
2018-10-18 14:07:32.700,23.39,61.07,2.201,,,20.146255
2018-10-18 14:50:36.700,23.39,61.07,2.201,,,19.36523
2018-10-18 15:15:20.725,23.39,61.07,2.201,,,21.140509
2018-10-18 16:07:24.956,23.39,61.07,2.201,,,20.811497
2018-10-18 16:24:07.733,23.39,61.07,2.201,,,20.98081
2018-10-18 16:45:18.736,23.39,61.07,2.201,,,20.884007
2018-10-18 17:15:18.852,23.39,61.07,2.201,,,20.99818
2018-10-18 17:45:18.702,23.39,61.07,2.201,,,21.041328
2018-10-18 18:15:18.702,23.39,61.07,2.201,,,20.602196
2018-10-18 18:45:18.891,23.39,61.07,2.201,,,20.403603
2018-10-18 19:26:02.827,23.39,61.07,2.201,,,20.451368
2018-10-18 20:04:09.699,23.39,61.07,2.201,,,20.168896
2018-10-18 23:04:09.722,23.39,61.07,2.201,,,18.822855
2018-10-19 02:04:09.697,23.39,61.07,2.201,,,18.059275
2018-10-19 05:04:09.698,23.39,61.07,2.201,,,17.811924
2018-10-19 08:04:09.697,23.39,61.07,2.201,,,19.114298
2018-10-19 10:59:49.699,23.39,61.07,2.201,,,19.211685
2018-10-19 13:59:49.698,23.39,61.07,2.201,,,23.005808
2018-10-19 16:59:49.699,23.39,61.07,2.201,,,20.86766
2018-10-19 19:59:49.737,23.39,61.07,2.201,,,19.46926
2018-10-19 23:00:09.700,23.39,61.07,2.201,,,18.153814
2018-10-20 02:00:09.698,23.39,61.07,2.201,,,17.732922
2018-10-20 05:00:09.699,23.39,61.07,2.201,,,17.440092
2018-10-20 08:00:09.698,23.39,61.07,2.201,,,17.447197
2018-10-20 11:00:09.699,23.39,61.07,2.201,,,18.588593
2018-10-20 14:00:09.784,23.39,61.07,2.201,,,20.173677
2018-10-20 17:00:09.700,23.39,61.07,2.201,,,18.56719
2018-10-20 20:00:09.698,23.39,61.07,2.201,,,17.76318
2018-10-20 23:00:09.777,23.39,61.07,2.201,,,17.229467
2018-10-21 02:00:09.700,23.39,61.07,2.201,,,16.817524
2018-10-21 05:00:09.700,23.39,61.07,2.201,,,16.558037
2018-10-21 08:00:09.699,23.39,61.07,2.201,,,16.460638
2018-10-21 11:00:09.702,23.39,61.07,2.201,,,15.810968
2018-10-21 14:00:09.699,23.39,61.07,2.201,,,18.65074
2018-10-21 17:00:09.701,23.39,61.07,2.201,,,17.828697
2018-10-21 20:00:09.756,23.39,61.07,2.201,,,17.335897
2018-10-21 23:00:09.699,23.39,61.07,2.201,,,16.519192
2018-10-22 02:00:09.699,23.39,61.07,2.201,,,17.054436
2018-10-22 05:00:09.700,23.39,61.07,2.201,,,16.447332
2018-10-22 08:00:09.698,23.39,61.07,2.201,,,17.55881
2018-10-22 11:00:09.699,23.39,61.07,2.201,,,16.364586
2018-10-22 14:00:09.698,23.39,61.07,2.201,,,17.744127
2018-10-22 17:00:09.699,23.39,61.07,2.201,,,17.849266
2018-10-22 20:00:09.700,23.39,61.07,2.201,,,16.802265
2018-10-22 23:00:09.699,23.39,61.07,2.201,,,14.839273
2018-10-23 02:00:09.702,23.39,61.07,2.201,,,16.237375
2018-10-23 05:00:09.700,23.39,61.07,2.201,,,16.234104
2018-10-23 08:00:09.699,23.39,61.07,2.201,,,14.161427
2018-10-23 11:00:09.701,23.39,61.07,2.201,,,14.006954
2018-10-23 14:00:09.702,23.39,61.07,2.201,,,15.759758
2018-10-23 17:00:09.735,23.39,61.07,2.201,,,14.6334715
2018-10-23 20:00:09.699,23.39,61.07,2.201,,,15.774294
2018-10-23 23:00:09.771,23.39,61.07,2.201,,,15.079618
2018-10-24 02:00:09.700,23.39,61.07,2.201,,,12.671675
2018-10-24 05:00:09.700,23.39,61.07,2.201,,,13.227202
2018-10-24 08:00:09.700,23.39,61.07,2.201,,,15.202484
2018-10-24 11:00:09.701,23.39,61.07,2.201,,,16.333025
2018-10-24 14:00:09.698,23.39,61.07,2.201,,,16.260284
2018-10-24 17:00:09.699,23.39,61.07,2.201,,,16.41919
2018-10-24 20:00:09.991,23.39,61.07,2.201,,,15.829179
2018-10-24 23:00:09.702,23.39,61.07,2.201,,,15.054209
2018-10-25 02:00:09.699,23.39,61.07,2.201,,,17.37495
2018-10-25 05:00:09.700,23.39,61.07,2.201,,,18.291124
2018-10-25 12:41:11.699,23.39,61.07,2.201,,,18.196383
2018-10-25 15:41:11.698,23.39,61.07,2.201,,,17.76481
2018-10-25 17:59:50.702,23.39,61.07,2.201,,,17.891233
2018-10-25 20:59:50.700,23.39,61.07,2.201,,,16.013472
2018-10-25 23:59:50.698,23.39,61.07,2.201,,,17.048502
2018-10-26 02:59:50.762,23.39,61.07,2.201,,,16.838291
2018-10-26 05:59:50.698,23.39,61.07,2.201,,,16.647999
2018-10-26 08:59:50.699,23.39,61.07,2.201,,,16.244017
2018-10-26 11:59:50.696,23.39,61.07,2.201,,,14.044219
